Chr			Length
Chr11			9065
Chr11			40669
Chr11			40679
Chr11			213177
Chr11			213751
Chr11			388252
Chr11			593974
Chr11			600332
Chr11			658370
Chr11			698197
Chr11			703771
Chr11			1091679
Chr11			1334006
Chr11			2049592
Chr11			2132007
Chr11			2132063
Chr11			2397194
Chr11			3346635
Chr11			5126773
Chr11			14452873
Chr11			14972051
Chr11			17028689
Chr11			18261517
Chr11			24414054
Chr11			25751805
Chr11			27221853
Chr11			29280235
the total of Chr11 is 34


Chr12			105
Chr12			129
Chr12			135
Chr12			142
Chr12			215
Chr12			236
Chr12			239
Chr12			266
Chr12			267
Chr12			823
Chr12			869
Chr12			1569
Chr12			1936
Chr12			2097
Chr12			2107
Chr12			2793
Chr12			4038
Chr12			7414
Chr12			8561
Chr12			8804
Chr12			10843
Chr12			104786
Chr12			121116
Chr12			3704582
Chr12			4248907
Chr12			4866078
Chr12			5539792
Chr12			6294302
Chr12			8919127
Chr12			9000706
Chr12			9000834
Chr12			10317574
Chr12			10995272
Chr12			11772375
Chr12			12485253
Chr12			13143695
Chr12			14316038
Chr12			15501459
Chr12			16998053
Chr12			17301560
Chr12			20018676
Chr12			21380347
Chr12			28948536
Chr12			34483654
the total of Chr12 is 44


Chr13			111
Chr13			135
Chr13			149
Chr13			159
Chr13			209
Chr13			226
Chr13			294
Chr13			23827
Chr13			37219
Chr13			67174
Chr13			67548
Chr13			76940
Chr13			173946
Chr13			254247
Chr13			272373
Chr13			312531
Chr13			344729
Chr13			426418
Chr13			753998
Chr13			1065057
Chr13			1171295
Chr13			1729193
Chr13			1884828
Chr13			1917620
Chr13			2013155
Chr13			2196725
Chr13			2804491
Chr13			4235028
Chr13			4302002
Chr13			6458767
Chr13			7002159
Chr13			7175079
Chr13			7666961
Chr13			7669911
Chr13			9500942
Chr13			9742151
Chr13			11491391
Chr13			12477642
Chr13			12706489
Chr13			15243204
Chr13			15487628
Chr13			17638648
Chr13			18197828
Chr13			18457476
Chr13			19073187
Chr13			24115125
Chr13			25031300
Chr13			27681211
Chr13			27935515
Chr13			29932434
Chr13			31149365
Chr13			37082788
the total of Chr13 is 52


Chr14			98
Chr14			193
Chr14			212
Chr14			222
Chr14			238
Chr14			271
Chr14			28984
Chr14			30599
Chr14			36352
Chr14			49045
Chr14			51845
Chr14			65960
Chr14			70289
Chr14			91648
Chr14			113364
Chr14			148071
Chr14			164904
Chr14			165396
Chr14			188285
Chr14			248394
Chr14			538081
Chr14			694362
Chr14			1081838
Chr14			2607597
Chr14			4085378
Chr14			4325023
Chr14			4325090
Chr14			4990044
Chr14			5402004
Chr14			5416581
Chr14			5534346
Chr14			5536407
Chr14			5536418
Chr14			5537685
Chr14			5573171
Chr14			5586233
Chr14			5590567
Chr14			5590981
Chr14			6860401
Chr14			8252972
Chr14			8552878
Chr14			8553008
Chr14			8687658
Chr14			8809200
Chr14			10170544
Chr14			10218348
Chr14			12113224
Chr14			12394071
Chr14			12394409
Chr14			14416791
Chr14			14417077
Chr14			14651386
Chr14			15073633
Chr14			17997502
Chr14			18626228
Chr14			23226339
Chr14			23567086
Chr14			24020201
Chr14			29038735
Chr14			29818805
Chr14			31488916
the total of Chr14 is 61


Chr15			112
Chr15			123
Chr15			161
Chr15			198
Chr15			210
Chr15			229
Chr15			263
Chr15			625
Chr15			1471
Chr15			4965
Chr15			10353
Chr15			10440
Chr15			30466
Chr15			31534
Chr15			33106
Chr15			35551
Chr15			37951
Chr15			41396
Chr15			54520
Chr15			60340
Chr15			62994
Chr15			65183
Chr15			65191
Chr15			113300
Chr15			113394
Chr15			113634
Chr15			114270
Chr15			114549
Chr15			114996
Chr15			128762
Chr15			129243
Chr15			154703
Chr15			159448
Chr15			159957
Chr15			162356
Chr15			165384
Chr15			169171
Chr15			174081
Chr15			174673
Chr15			177741
Chr15			177969
Chr15			190042
Chr15			198969
Chr15			210435
Chr15			216136
Chr15			230928
Chr15			289528
Chr15			313827
Chr15			334887
Chr15			359693
Chr15			365410
Chr15			392180
Chr15			392516
Chr15			401920
Chr15			407280
Chr15			428407
Chr15			483550
Chr15			483699
Chr15			486502
Chr15			509891
Chr15			513065
Chr15			520583
Chr15			565522
Chr15			575724
Chr15			654701
Chr15			684647
Chr15			717553
Chr15			721784
Chr15			2242605
Chr15			2605295
Chr15			2855054
Chr15			3330860
Chr15			3835155
Chr15			4330070
Chr15			4508905
Chr15			5203615
Chr15			5846372
Chr15			6171311
Chr15			6733603
Chr15			6995046
Chr15			7160947
Chr15			7554443
Chr15			7567108
Chr15			7655281
Chr15			7655530
Chr15			7766294
Chr15			8347872
Chr15			8953173
Chr15			8953583
Chr15			9701614
Chr15			9722253
Chr15			9764603
Chr15			10476338
Chr15			10528418
Chr15			10706727
Chr15			12021339
Chr15			13682483
Chr15			13684627
Chr15			14023386
Chr15			14687088
Chr15			14778552
Chr15			16654192
Chr15			16928958
Chr15			20136553
Chr15			21851676
Chr15			23125333
Chr15			23659091
Chr15			32951596
Chr15			36852211
Chr15			37917607
Chr15			38942574
Chr15			39452613
the total of Chr15 is 112


Chr16			149
Chr16			182
Chr16			222
Chr16			1406
Chr16			3434
Chr16			5129
Chr16			22103
Chr16			35931
Chr16			47195
Chr16			63049
Chr16			63151
Chr16			89847
Chr16			90060
Chr16			98472
Chr16			98933
Chr16			99294
Chr16			130905
Chr16			135078
Chr16			144092
Chr16			191578
Chr16			195865
Chr16			218931
Chr16			302429
Chr16			305984
Chr16			306014
Chr16			329270
Chr16			774906
Chr16			775117
Chr16			777605
Chr16			780958
Chr16			805042
Chr16			907237
Chr16			936696
Chr16			2443085
Chr16			4420269
Chr16			5151265
Chr16			6141026
Chr16			7241104
Chr16			8969315
Chr16			11452261
Chr16			11855252
Chr16			11913294
Chr16			13615128
Chr16			17120151
Chr16			18867969
Chr16			25408653
Chr16			29572680
the total of Chr16 is 47


Chr17			107
Chr17			108
Chr17			113
Chr17			150
Chr17			157
Chr17			176
Chr17			180
Chr17			365
Chr17			551
Chr17			5085
Chr17			5730
Chr17			19469
Chr17			106060
Chr17			573831
Chr17			574261
Chr17			576375
Chr17			577951
Chr17			578308
Chr17			652663
Chr17			3136287
Chr17			4518701
Chr17			5248765
Chr17			6563724
Chr17			10647086
Chr17			12449779
Chr17			13467288
Chr17			13561763
Chr17			15504873
Chr17			16754002
Chr17			19824951
Chr17			20243060
Chr17			20589832
Chr17			24854770
Chr17			27773283
Chr17			29262528
Chr17			31504093
the total of Chr17 is 36


Chr18			144
Chr18			153
Chr18			183
Chr18			225
Chr18			228
Chr18			1124
Chr18			1438
Chr18			1916
Chr18			3867
Chr18			11887
Chr18			18896
Chr18			21004
Chr18			25151
Chr18			55090
Chr18			56146
Chr18			68600
Chr18			80083
Chr18			93023
Chr18			94291
Chr18			94661
Chr18			99066
Chr18			130607
Chr18			260250
Chr18			298643
Chr18			304522
Chr18			357115
Chr18			357286
Chr18			382700
Chr18			399687
Chr18			401733
Chr18			468269
Chr18			564825
Chr18			588425
Chr18			619281
Chr18			636029
Chr18			658928
Chr18			705975
Chr18			752308
Chr18			1849362
Chr18			1849528
Chr18			2117965
Chr18			2402435
Chr18			2443931
Chr18			2682727
Chr18			3034011
Chr18			3429018
Chr18			6453800
Chr18			6492485
Chr18			6519349
Chr18			7799562
Chr18			7984172
Chr18			8913022
Chr18			8915117
Chr18			8916217
Chr18			8917461
Chr18			9566775
Chr18			9718155
Chr18			9761938
Chr18			9888402
Chr18			9905145
Chr18			10517947
Chr18			10868250
Chr18			12099451
Chr18			14903634
Chr18			14904168
Chr18			14922912
Chr18			16978450
Chr18			18273810
Chr18			19045204
Chr18			21246992
Chr18			21247632
Chr18			21557711
Chr18			22561867
Chr18			23495591
Chr18			25998360
Chr18			26295280
Chr18			27327001
Chr18			29332978
Chr18			30829890
Chr18			31787454
Chr18			32117165
Chr18			33663150
Chr18			34836039
Chr18			35646609
Chr18			40721211
Chr18			40861405
Chr18			41521189
Chr18			47581392
the total of Chr18 is 88


Chr19			153
Chr19			421
Chr19			658
Chr19			666
Chr19			1450
Chr19			1656
Chr19			1899
Chr19			2125
Chr19			2141
Chr19			2771
Chr19			4412
Chr19			4425
Chr19			4600
Chr19			5527
Chr19			5793
Chr19			7461
Chr19			8339
Chr19			12659
Chr19			49336
Chr19			124022
Chr19			253936
Chr19			258676
Chr19			260484
Chr19			297781
Chr19			300496
Chr19			320507
Chr19			364884
Chr19			456541
Chr19			539955
Chr19			542842
Chr19			573692
Chr19			574959
Chr19			947984
Chr19			1048167
Chr19			1083417
Chr19			1471191
Chr19			1716580
Chr19			2346182
Chr19			2355434
Chr19			2399162
Chr19			2590308
Chr19			2613155
Chr19			3034898
Chr19			3780740
Chr19			3974232
Chr19			4201314
Chr19			4331313
Chr19			4377052
Chr19			4722106
Chr19			5051877
Chr19			5060596
Chr19			5867722
Chr19			6939320
Chr19			7086868
Chr19			7417013
Chr19			8154453
Chr19			8959311
Chr19			10440801
Chr19			10448725
Chr19			11199485
Chr19			12329541
Chr19			20956697
Chr19			22780769
Chr19			28275667
Chr19			32154227
Chr19			33240630
Chr19			46823118
the total of Chr19 is 67


Chr20			114
Chr20			126
Chr20			178
Chr20			184
Chr20			234
Chr20			302
Chr20			644
Chr20			994
Chr20			1397
Chr20			1407
Chr20			6340
Chr20			13186
Chr20			167623
Chr20			325977
Chr20			455160
Chr20			637182
Chr20			948597
Chr20			1286913
Chr20			1294759
Chr20			1517732
Chr20			2030506
Chr20			2181970
Chr20			2457260
Chr20			2717640
Chr20			3842029
Chr20			3842169
Chr20			4253112
Chr20			4615404
Chr20			4919129
Chr20			5818416
Chr20			6245870
Chr20			6352918
Chr20			6817443
Chr20			7913818
Chr20			8473724
Chr20			8551341
Chr20			8604783
Chr20			10912205
Chr20			12094848
Chr20			13377586
Chr20			13791558
Chr20			13791658
Chr20			14725331
Chr20			17822115
Chr20			23043521
Chr20			23123246
Chr20			32019579
the total of Chr20 is 47


scaffold_44			112
scaffold_2080			112
scaffold_2080			112
scaffold_21			995
scaffold_21			1234
scaffold_27			9842
scaffold_35			20703
scaffold_50			63343
scaffold_35			104810
scaffold_54			106089
scaffold_55			109415
scaffold_55			114427
scaffold_55			116789
scaffold_35			123738
scaffold_60			154829
scaffold_43			163954
scaffold_43			209010
scaffold_43			242219
scaffold_48			270052
scaffold_48			329309
scaffold_48			329597
the total of SCaffold is 21


