21342	21425	83	
15112	15175	63	
5880	5898	18	
27916	27940	24	
1657	1719	62	
19812	19878	66	
9575	9636	61	
9415	9510	95	
30776	30845	69	
18619	18692	73	
2121	2206	85	
22947	22968	21	
13818	13820	2	
19294	19345	51	
7936	7939	3	
6542	6600	58	
6896	6981	85	
20005	20078	73	
5224	5255	31	
15599	15629	30	
16422	16494	72	
6250	6289	39	
30733	30756	23	
17245	17257	12	
15734	15818	84	
1200	1240	40	
9752	9771	19	
32652	32718	66	
14707	14794	87	
5458	5515	57	
32783	32830	47	
5215	5225	10	
19145	19156	11	
22701	22800	99	
30024	30081	57	
16666	16685	19	
10181	10278	97	
7704	7783	79	
23443	23529	86	
32259	32329	70	
10111	10203	92	
31203	31220	17	
5964	6045	81	
26765	26795	30	
4644	4720	76	
6687	6692	5	
5207	5234	27	
32950	33012	62	
16697	16722	25	
27422	27501	79	
3719	3763	44	
13402	13493	91	
4276	4291	15	
3068	3122	54	
10698	10706	8	
15504	15598	94	
7912	7974	62	
4817	4899	82	
23205	23208	3	
18933	18963	30	
23859	23861	2	
8582	8634	52	
8130	8153	23	
32946	32952	6	
28817	28818	1	
18998	19024	26	
2264	2268	4	
17880	17969	89	
25148	25163	15	
17359	17375	16	
4154	4250	96	
23398	23444	46	
8140	8212	72	
28156	28250	94	
17187	17261	74	
19563	19587	24	
19450	19457	7	
9963	10006	43	
14825	14903	78	
10820	10887	67	
24350	24373	23	
28217	28261	44	
24813	24818	5	
6322	6404	82	
6076	6172	96	
23214	23313	99	
4338	4364	26	
10830	10846	16	
14971	14983	12	
24086	24182	96	
30525	30568	43	
3382	3480	98	
7414	7613	199	
32067	32189	122	
29189	29379	190	
18554	18657	103	
22695	22836	141	
34215	34341	126	
34575	34713	138	
4733	4932	199	
25393	25560	167	
26851	27030	179	
20776	20962	186	
2135	2325	190	
2112	2291	179	
3579	3696	117	
4361	4531	170	
16741	16855	114	
20402	20516	114	
5887	6030	143	
16478	16661	183	
28395	28552	157	
18809	18961	152	
4681	4801	120	
17694	17860	166	
13428	13602	174	
10925	11082	157	
31453	31591	138	
30392	30576	184	
20588	20715	127	
14876	15039	163	
2183	2284	101	
29138	29250	112	
5249	5443	194	
3101	3210	109	
20730	20854	124	
15846	16015	169	
11865	12004	139	
3975	4168	193	
14332	14469	137	
16554	16715	161	
16297	16406	109	
27302	27425	123	
12183	12363	180	
33595	33738	143	
18268	18397	129	
9811	10002	191	
18733	18861	128	
18024	18173	149	
22869	23026	157	
11333	11532	199	
5533	5715	182	
26410	26561	151	
10108	10214	106	
4645	4824	179	
21999	22111	112	
4900	5074	174	
23073	23196	123	
14012	14120	108	
31631	31778	147	
19776	19962	186	
14330	14498	168	
11764	11893	129	
31034	31175	141	
16938	17043	105	
8104	8223	119	
32345	32502	157	
25379	25494	115	
27790	27963	173	
20283	20461	178	
11309	11460	151	
24423	24583	160	
2604	2802	198	
32074	32206	132	
5917	6097	180	
26391	26552	161	
24388	24534	146	
16643	16790	147	
9767	9896	129	
22007	22135	128	
19621	19796	175	
19264	19461	197	
17470	17648	178	
19381	19522	141	
13002	13159	157	
28244	28420	176	
11428	11569	141	
23501	23648	147	
9984	10117	133	
30503	30687	184	
2013	2145	132	
3672	3804	132	
30656	30850	194	
21844	21980	136	
22465	22631	166	
12460	12620	160	
33134	33330	196	
5096	5201	105	
13293	13476	183	
30136	30291	155	
21071	21231	160	
8570	8688	118	
22202	22306	104	
26161	26313	152	
8054	8240	186	
26988	27183	195	
31033	31145	112	
8609	8719	110	
2411	2590	179	
15258	15396	138	
32734	32843	109	
28337	28500	163	
12324	12435	111	
34102	34227	125	
30655	30771	116	
7026	7162	136	
6030	6147	117	
22949	23139	190	
24898	25082	184	
11794	11965	171	
23835	23941	106	
18936	19081	145	
20154	20313	159	
25940	26077	137	
14995	15148	153	
3746	3899	153	
20392	20574	182	
2379	2483	104	
23539	23680	141	
32599	32734	135	
11598	11710	112	
2838	2952	114	
33635	33768	133	
23387	23529	142	
30562	30749	187	
30355	30539	184	
32065	32177	112	
25211	25325	114	
24816	24918	102	
12720	12852	132	
26073	26216	143	
15697	15878	181	
27652	27816	164	
3465	3636	171	
15558	15700	142	
13746	13863	117	
26316	26444	128	
10030	10198	168	
18898	19057	159	
16251	16407	156	
14379	14549	170	
5904	6087	183	
20891	21060	169	
20671	20817	146	
31637	31834	197	
29402	29597	195	
6608	6762	154	
2646	2801	155	
28128	28259	131	
7433	7566	133	
15871	16020	149	
12375	12521	146	
10879	11026	147	
26019	26141	122	
21457	21606	149	
29440	29555	115	
13961	14149	188	
31420	31532	112	
24475	24619	144	
34456	34573	117	
24199	24386	187	
10565	10743	178	
6410	6567	157	
3174	3311	137	
25223	25335	112	
27875	28047	172	
32553	32720	167	
19193	19358	165	
29200	29378	178	
20712	20864	152	
15802	15933	131	
13943	14073	130	
31107	31222	115	
8463	8627	164	
24788	24906	118	
18896	19035	139	
15947	16055	108	
26926	27107	181	
22974	23147	173	
11876	12000	124	
19147	19306	159	
18020	18141	121	
21461	21604	143	
13614	13798	184	
11205	11353	148	
34670	34820	150	
22565	22743	178	
7856	8039	183	
31831	31978	147	
7446	7623	177	
17087	17225	138	
13339	13492	153	
17032	17217	185	
23221	23373	152	
34525	34646	121	
12067	12216	149	
7106	7225	119	
34534	34698	164	
17259	17425	166	
29413	29591	178	
14756	14902	146	
15161	15317	156	
10100	10298	198	
5266	5419	153	
11732	11841	109	
5684	5792	108	
9966	10163	197	
13148	13313	165	
34659	34761	102	
14952	15143	191	
32443	32613	170	
8517	8619	102	
16015	16172	157	
8060	8258	198	
2463	2594	131	
23557	23744	187	
29068	29219	151	
12996	13154	158	
25725	25835	110	
21707	21823	116	
28943	29060	117	
18369	18535	166	
25357	25552	195	
2341	2490	149	
7401	7599	198	
22625	22735	110	
21481	21669	188	
27605	27749	144	
4103	4272	169	
5542	5711	169	
5594	5701	107	
7213	7396	183	
7568	7700	132	
18498	18626	128	
31614	31721	107	
28690	28838	148	
7460	7598	138	
33032	33133	101	
32849	33020	171	
19339	19482	143	
34584	34690	106	
6378	6483	105	
19707	19829	122	
18739	18843	104	
24920	25054	134	
33428	33567	139	
2988	3157	169	
13105	13243	138	
31722	31871	149	
27121	27307	186	
3343	3495	152	
19309	19502	193	
32012	32113	101	
9477	9596	119	
15487	15657	170	
25640	25793	153	
15857	15970	113	
29796	29917	121	
25672	25796	124	
18549	18654	105	
30597	30725	128	
5027	5213	186	
17047	17185	138	
29905	30093	188	
16000	16185	185	
6697	6866	169	
28122	28308	186	
8055	8178	123	
20408	20601	193	
11079	11217	138	
2325	2440	115	
4285	4398	113	
11685	11849	164	
30444	30596	152	
18561	18749	188	
19546	19648	102	
34660	34873	213	
36166	36400	234	
25556	25808	252	
23520	23747	227	
29958	30257	299	
19032	19286	254	
24999	25276	277	
20686	20921	235	
24931	25211	280	
29526	29736	210	
7500	7753	253	
17589	17859	270	
26025	26240	215	
26746	26958	212	
24608	24820	212	
22322	22612	290	
5155	5374	219	
27355	27616	261	
30789	31033	244	
30360	30630	270	
25719	25937	218	
27850	28055	205	
36364	36587	223	
22781	23071	290	
28779	29058	279	
